neuron_name,neuron_id,neurite_surface_nmo,neurite_volume_nmo,pk_classic_nmo,bif_ampl_local_nmo,fractal_dim_nmo,soma_surface_nmo,n_stems_nmo,n_bifs_nmo,n_branch_nmo,width_nmo,height_nmo,depth_nmo,diameter_nmo,euc_distance_nmo,path_distance_nmo,branch_order_nmo,contraction_nmo,fragmentation_nmo,partition_asymmetry_nmo,bif_ampl_remote_nmo,neurite_length_nmo
254-1-20-RS,142482,15607.4,6233.42,1.39965,60.0637,1.01025,1069.54,9.0,51.0,111.0,221.857,774.792,109.04,1.01601,563.482,576.445,11.0,0.961003,877.0,0.425321,59.8005,4658.41
254-1-3-RS,142637,30139.9,9414.79,1.62776,59.0899,1.01631,863.953,9.0,94.0,197.0,378.739,548.388,115.43,0.932076,521.158,545.596,15.0,0.946076,1912.0,0.39992,48.717,9854.87
254-1-4-CD,142640,42800.5,17923.0,1.62195,59.8619,1.01467,1330.61,9.0,86.0,181.0,297.26,610.82,118.77,1.38997,572.32,612.263,11.0,0.955295,1079.0,0.361927,53.8505,9697.04
254-1-5-CD,142378,21021.1,8276.47,1.56996,62.9759,1.00885,731.288,8.0,75.0,158.0,177.86,775.57,99.47,1.28621,517.281,547.246,14.0,0.96753,691.0,0.37496,56.7394,5177.79
254-1-6-CD,142822,24348.2,9733.72,1.52942,66.9387,1.00958,906.235,7.0,69.0,145.0,483.038,354.654,138.59,1.3071,390.208,529.083,9.0,0.960939,692.0,0.438826,63.3167,6122.47
254-1-7-CD,142605,20321.0,6530.09,1.59158,64.9302,1.01564,509.532,9.0,72.0,153.0,255.12,421.39,97.54,1.1209,363.778,368.607,12.0,0.947959,779.0,0.433763,61.4335,5824.64
254-1-8-RS,142454,16731.2,7300.75,1.50823,63.7111,1.0181,911.763,6.0,38.0,82.0,285.315,350.756,102.91,1.2954,271.187,296.464,10.0,0.93594,569.0,0.444236,60.9807,4082.28
254-1-9-RS,142398,14960.0,6508.01,1.39979,59.6346,1.01403,1144.61,7.0,50.0,107.0,233.986,487.651,132.25,1.05887,441.31,465.271,12.0,0.955836,842.0,0.494864,52.9033,4217.63
254-2-1-CD,142391,10849.9,4037.55,1.53099,60.4681,1.01283,485.502,5.0,35.0,75.0,207.11,321.81,72.84,1.25721,299.891,311.94,9.0,0.960304,380.0,0.320011,52.4089,2771.54
254-2-10-CD,142187,29888.6,14109.7,1.49946,72.4253,1.01921,1353.83,6.0,48.0,102.0,591.178,380.291,123.53,1.64673,472.299,496.933,11.0,0.935839,477.0,0.403392,61.5294,5843.88
254-2-11-RS,142315,26184.3,16156.7,1.35309,64.6272,1.01258,1955.8,7.0,40.0,87.0,229.424,686.771,126.14,1.56404,688.0,708.679,14.0,0.945647,638.0,0.543648,49.1173,5065.04
254-2-12-RS,142367,12662.0,5238.74,1.36911,61.4189,1.02121,768.518,7.0,26.0,59.0,198.566,295.589,110.67,1.09698,251.042,263.274,8.0,0.934479,596.0,0.311622,54.4943,3563.72
254-2-13-RS,142399,6134.2,3130.48,1.3184,59.6244,1.01242,560.619,4.0,21.0,46.0,209.243,316.79,30.34,1.27619,201.778,219.105,7.0,0.957219,294.0,0.619048,57.0106,1479.97
254-2-14-RS,142594,5372.07,2103.41,1.38643,68.5357,1.01583,524.75,6.0,26.0,58.0,124.388,274.206,58.99,0.995791,205.006,210.932,5.0,0.949136,411.0,0.35696,61.7567,1608.08
254-2-15-RS,142539,9948.13,3028.11,1.42193,59.1083,1.0173,647.046,8.0,30.0,68.0,256.866,297.373,72.54,0.98048,216.544,241.727,7.0,0.941436,521.0,0.48418,55.243,3168.18
251-1-19-RS,142777,16841.9,6205.78,1.42068,60.1778,1.01489,766.417,9.0,55.0,119.0,249.61,438.65,111.15,1.05467,477.109,505.536,12.0,0.950447,1045.0,0.428145,56.1478,4861.72
251-1-2-CD,142759,21806.0,9576.98,1.58413,69.9016,1.00921,831.02,9.0,54.0,117.0,205.734,581.822,114.5,1.51731,503.693,524.763,13.0,0.964697,543.0,0.476855,58.2055,4612.79
251-1-20-RS,142614,11907.2,5018.32,1.48263,63.6914,1.01228,1033.5,8.0,46.0,100.0,203.349,523.97,126.96,1.04252,462.826,483.879,16.0,0.955615,719.0,0.495462,54.5892,3419.49
251-1-3-CD,142813,16143.5,6919.35,1.51374,72.6438,1.00938,695.223,5.0,44.0,93.0,209.98,398.181,126.09,1.50776,342.026,383.84,12.0,0.960186,366.0,0.373751,59.5512,3429.62
251-1-4-CD,142646,38641.4,18097.6,1.49261,66.9373,1.01259,1294.19,10.0,65.0,140.0,299.083,509.128,129.26,1.55309,425.349,472.197,14.0,0.954266,871.0,0.435217,61.0383,7989.75
251-1-5-CD,142739,18718.7,8368.68,1.54673,68.9043,1.01191,1128.92,7.0,51.0,109.0,264.63,407.119,96.64,1.46502,375.227,386.74,12.0,0.961025,542.0,0.512792,58.4768,4001.24
251-1-6-CD,142649,19965.2,8013.43,1.52348,69.8868,1.01572,893.124,6.0,55.0,116.0,183.92,376.431,104.04,1.378,303.456,321.435,11.0,0.952406,601.0,0.398269,67.9289,4631.8
251-1-7-CD,142692,20138.0,8176.56,1.49919,66.5895,1.01256,1001.31,8.0,60.0,128.0,209.621,455.658,121.06,1.35281,410.628,437.842,17.0,0.961273,595.0,0.551782,63.2159,4777.85
251-1-9-CD,142498,17476.3,7328.27,1.35456,66.8786,1.00864,806.496,9.0,45.0,99.0,216.195,377.54,118.64,1.38578,287.943,312.006,11.0,0.966613,519.0,0.494074,61.9974,4059.81
251-2-1-CD,142341,18574.2,10352.0,1.55952,70.4328,1.01292,807.556,6.0,36.0,78.0,258.391,277.939,99.28,2.02596,250.181,268.574,7.0,0.963225,260.0,0.353527,66.8355,2994.97
