neuron_name,neuron_id,neurite_surface_nmo,neurite_volume_nmo,pk_classic_nmo,bif_ampl_local_nmo,fractal_dim_nmo,soma_surface_nmo,n_stems_nmo,n_bifs_nmo,n_branch_nmo,width_nmo,height_nmo,depth_nmo,diameter_nmo,euc_distance_nmo,path_distance_nmo,branch_order_nmo,contraction_nmo,fragmentation_nmo,partition_asymmetry_nmo,bif_ampl_remote_nmo,neurite_length_nmo
Orange5_9-25-12-sec3-Neuron3,85621,10095.8,4316.26,1.56867,64.4099,1.02767,557.65,3.0,17.0,37.0,195.777,349.98,68.31,1.64084,198.236,229.386,6.0,0.909256,335.0,0.352474,49.6433,1945.65
Orange6_9-25-12-sec2_Neuron5,85622,10889.2,4218.61,1.61024,63.8496,1.03016,541.629,4.0,31.0,66.0,129.42,271.09,74.83,1.41046,230.041,280.572,9.0,0.907273,521.0,0.496774,60.3984,2390.17
Orange6_9-25-12-sec3_Neuron6,85623,13386.6,6238.64,1.63111,53.9652,1.031,1018.24,5.0,24.0,53.0,222.848,239.721,89.68,1.77082,167.956,230.932,7.0,0.896514,437.0,0.475397,51.7328,2376.26
Pink10_1-14-13_sec1_Neuron6,85595,9035.67,3990.04,1.6904,55.9892,1.02042,770.249,5.0,23.0,51.0,127.891,233.352,94.69,1.69234,159.133,206.898,7.0,0.935365,304.0,0.45538,57.639,1683.76
Pink10_1-14-13_sec1_Neuron7,85596,12820.7,5018.16,1.66617,58.7742,1.01353,781.416,7.0,27.0,61.0,130.783,305.471,92.23,1.49743,181.082,195.056,7.0,0.951397,455.0,0.408466,48.9651,2700.05
Pink11_1-14-13_sec1_Neuron2,85597,9287.17,3729.27,1.69383,80.7033,1.02517,600.857,3.0,17.0,37.0,182.05,437.29,91.95,1.52863,412.753,463.517,7.0,0.914253,401.0,0.630252,62.7269,1921.56
Pink11_1-14-13_sec2_Neuron4,85598,10431.0,3654.56,1.69829,63.5415,1.02804,608.294,4.0,28.0,60.0,139.12,279.07,80.42,1.36915,181.247,205.415,9.0,0.913857,482.0,0.517741,60.0331,2437.0
Pink11_1-14-13_sec3_Neuron5,85599,7745.86,2916.44,1.67034,60.8663,1.02481,494.849,3.0,23.0,49.0,147.099,174.939,64.99,1.43516,158.157,195.611,6.0,0.933484,341.0,0.520911,55.0555,1722.21
Pink2_11-26-12_sec2_Neuron7,85611,10247.0,5448.35,1.58078,66.4911,1.02043,1302.01,3.0,24.0,51.0,214.311,415.019,106.2,1.97637,346.872,378.933,9.0,0.940041,245.0,0.746429,69.199,1599.01
Pink3_11-26-12_sec1_Neuron2,85612,9493.86,4442.81,1.6774,53.6281,1.02267,891.362,5.0,21.0,47.0,148.69,220.91,63.16,1.73261,187.433,266.269,7.0,0.909139,357.0,0.470899,60.7342,1692.2
