neuron_id,neuron_name,archive,note,age_scale,gender,age_classification,species,strain,scientific_name,stain,experiment_condition,protocol,slicing_direction,reconstruction_software,objective_type,original_format,domain,attributes,magnification,shrinkage_reported,shrinkage_corrected,slicing_thickness,min_age,max_age,min_weight,max_weight,reference_doi,primary_brain_region,secondary_brain_region,tertiary_brain_region,primary_cell_class,secondary_cell_class,tertiary_cell_class,physical_integrity
147101,46-human-hcca1-idab2-porta1-sec1-cel7-soma-z-corr-1-7,defelipe,,year,female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,glycerin,neurolucida.asc,"dendrites, soma, axon","diameter, 3d, angles",63,not reported,,300,53,53,not reported,not reported,10.1093/cercor/bhz122,hippocampus,ca1,pyramidal layer,principal cell,pyramidal,not reported,"dendrites moderate, axon incomplete"
147125,47-Human-hcca1-idab2-porta1-sec1-cel10-soma-z-corr-1-7,defelipe,,year,female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,glycerin,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",63,not reported,,300,53,53,not reported,not reported,10.1093/cercor/bhz122,hippocampus,ca1,pyramidal layer,principal cell,pyramidal,not reported,dendrites moderate
147141,48-human-hcca1-idab2-porta1-sec1-cel12-soma-z-corr-1-7,defelipe,,year,female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,glycerin,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",63,not reported,,300,53,53,not reported,not reported,10.1093/cercor/bhz122,hippocampus,ca1,pyramidal layer,principal cell,pyramidal,not reported,dendrites moderate
147080,49-human-hcca1-idab2-porta1-sec1-cel14soma-a-corr-1-7,defelipe,,year,female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,glycerin,neurolucida.asc,"dendrites, soma, axon","diameter, 3d, angles",63,not reported,,300,53,53,not reported,not reported,10.1093/cercor/bhz122,hippocampus,ca1,pyramidal layer,principal cell,pyramidal,not reported,"dendrites moderate, axon incomplete"
72415,h184a-cel-8,defelipe,lucifer yellow was intracellularly injected.,year,male/female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,not reported,neurolucida.dat,"dendrites, soma, no axon","no diameter, 3d, angles",100,not reported,,250,24,48,not reported,not reported,10.1093/cercor/bhi036,neocortex,temporal,brodmann area 20,principal cell,pyramidal,not reported,dendrites moderate
72416,h184a-cel-9,defelipe,lucifer yellow was intracellularly injected.,year,male/female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,not reported,neurolucida.dat,"dendrites, soma, no axon","no diameter, 3d, angles",100,not reported,,250,24,48,not reported,not reported,10.1093/cercor/bhi036,neocortex,temporal,brodmann area 20,principal cell,pyramidal,not reported,dendrites moderate
72418,h184b-cel-10,defelipe,lucifer yellow was intracellularly injected.,year,male/female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,not reported,neurolucida.dat,"dendrites, soma, no axon","no diameter, 3d, angles",100,not reported,,250,24,48,not reported,not reported,10.1093/cercor/bhi036,neocortex,temporal,brodmann area 20,principal cell,pyramidal,not reported,dendrites moderate
72419,h184b-cel-11,defelipe,lucifer yellow was intracellularly injected.,year,male/female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,not reported,neurolucida.dat,"dendrites, soma, no axon","no diameter, 3d, angles",100,not reported,,250,24,48,not reported,not reported,10.1093/cercor/bhi036,neocortex,temporal,brodmann area 20,principal cell,pyramidal,not reported,dendrites moderate
72420,h184b-cel-12,defelipe,lucifer yellow was intracellularly injected.,year,male/female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,not reported,neurolucida.dat,"dendrites, soma, no axon","no diameter, 3d, angles",100,not reported,,250,24,48,not reported,not reported,10.1093/cercor/bhi036,neocortex,temporal,brodmann area 20,principal cell,pyramidal,not reported,dendrites moderate
72417,h184b-cel-1,defelipe,lucifer yellow was intracellularly injected.,year,male/female,adult,human,not applicable,,lucifer yellow,control,in vitro,coronal,neurolucida,not reported,neurolucida.dat,"dendrites, soma, no axon","no diameter, 3d, angles",100,not reported,,250,24,48,not reported,not reported,10.1093/cercor/bhi036,neocortex,temporal,brodmann area 20,principal cell,pyramidal,not reported,dendrites moderate
