neuron_id,neuron_name,archive,note,age_scale,gender,age_classification,species,strain,scientific_name,stain,experiment_condition,protocol,slicing_direction,reconstruction_software,objective_type,original_format,domain,attributes,magnification,shrinkage_reported,shrinkage_corrected,slicing_thickness,min_age,max_age,min_weight,max_weight,reference_doi,primary_brain_region,secondary_brain_region,tertiary_brain_region,primary_cell_class,secondary_cell_class,tertiary_cell_class,physical_integrity
1051,04a_pyramidal4aACC,allman,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 6.3 (february 2016). the pre-6.3 version of the processed file is available for download <a href="" dablefiles/previous/v6.3/allman/04a_pyramidal4aacc.cng.swc "">here</a>.",year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,anterior cingulate,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1086,06b_spindle8aACC,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,anterior cingulate,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
1096,16o_spindle13aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
1065,07a_pyramidal13aACC,allman,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 6.3 (february 2016). the pre-6.3 version of the processed file is available for download <a href="" dablefiles/previous/v6.3/allman/07a_pyramidal13aacc.cng.swc "">here</a>.",year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,anterior cingulate,layer 5,principal cell,pyramidal,not reported,"dendrites complete, axon incomplete"
1066,07b_pyramidal14aACC,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,anterior cingulate,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1087,07b_spindle9aACC,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,anterior cingulate,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
1088,08a_spindle13aACC,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,anterior cingulate,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
1067,08o_pyramidal11aFI,allman,"when originally released, this reconstruction had been incompletely processed, and this issue was fixed in release 6.3 (february 2016). the pre-6.3 version of the processed file is available for download <a href="" dablefiles/previous/v6.3/allman/08o_pyramidal11afi.cng.swc "">here</a>.",year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,pyramidal,not reported,dendrites moderate
1089,09o_spindle7aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
1090,09o_spindle8aFI,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,fronto-insula,layer 5,principal cell,von economo neuron,not reported,dendrites moderate
1068,10a_pyramidal15aACC,allman,,year,male,adult,human,not applicable,,golgi,control,in vitro,not reported,neurolucida,oil,neurolucida.asc,"dendrites, soma, no axon","diameter, 3d, angles",40,not reported,,200,23,23,not reported,not reported,10.1016/j.neuroscience.2006.04.084,neocortex,anterior cingulate,layer 5,principal cell,pyramidal,not reported,dendrites moderate
