neuron_name,neuron_id,neurite_surface_nmo,neurite_volume_nmo,pk_classic_nmo,bif_ampl_local_nmo,fractal_dim_nmo,soma_surface_nmo,n_stems_nmo,n_bifs_nmo,n_branch_nmo,width_nmo,height_nmo,depth_nmo,diameter_nmo,euc_distance_nmo,path_distance_nmo,branch_order_nmo,contraction_nmo,fragmentation_nmo,partition_asymmetry_nmo,bif_ampl_remote_nmo,neurite_length_nmo
22o_pyramidal16aFI,1074,20103.3,14744.6,1.49,73.81,1.11,1937.66,5.0,12.0,29.0,195.55,585.35,230.29,1.94,365.62,626.29,6.0,0.66,1231.0,0.75,59.56,2899.47
23o_spindle16aFI,1099,4815.18,3364.87,1.5,18.29,1.05,1317.04,2.0,1.0,4.0,37.5,420.05,73.09,1.67,248.0,379.58,1.0,0.69,363.0,0.0,30.73,789.43
24o_pyramidal17aFI,1075,11335.2,9475.51,1.31,93.55,1.17,3350.03,7.0,6.0,19.0,99.12,371.99,63.02,2.04,308.31,529.48,4.0,0.62,683.0,0.5,66.17,1524.34
25o_pyramidal18aFI,1076,9495.39,6972.61,1.06,75.81,1.16,1918.98,3.0,6.0,15.0,255.31,364.05,109.96,1.8,268.55,441.69,4.0,0.7,751.0,0.5,42.51,1435.24
25o_spindle17aFI,1100,9483.85,7027.13,1.83974,87.9768,1.04245,1038.35,3.0,183.0,369.0,273.141,358.699,107.7,1.79324,270.91,333.756,61.0,0.968578,799.0,0.938097,86.0923,1430.09
26o_spindle18aFI,1101,5959.51,5091.12,0.0,0.0,1.0975,4002.81,2.0,0.0,2.0,17.57,442.65,90.74,2.27,338.97,494.64,0.0,0.64,295.0,0.0,0.0,730.45
27o_spindle19aFI,1102,10269.4,7699.88,1.51,73.98,1.06,2135.98,4.0,10.0,24.0,120.22,275.08,98.47,1.73,185.02,277.78,3.0,0.74,706.0,0.25,51.99,1592.86
28o_spindle20aFI,1103,16256.4,22444.6,1.31,90.88,1.08,3072.87,2.0,5.0,12.0,75.69,520.69,88.15,3.0,373.12,564.62,3.0,0.69,460.0,0.2,65.11,1426.55
28o_spindle21aFI,1104,4473.89,4326.49,1.8552,87.0142,1.07772,3075.28,2.0,12.0,26.0,18.0196,298.567,56.11,2.61707,173.677,211.735,7.0,0.916784,147.0,0.694444,86.0646,484.949
29o_spindle22aFI,1105,18363.9,31258.8,1.15,98.99,1.11,4473.41,2.0,3.0,8.0,137.55,402.84,102.93,3.52,224.37,426.45,2.0,0.61,318.0,0.33,64.68,1265.74
30o_spindle23aFI,1106,6023.09,7926.64,0.0,0.0,1.08,2361.17,3.0,0.0,3.0,11.38,322.56,49.0,3.05,199.34,274.32,0.0,0.78,188.0,0.0,0.0,507.72
31o_pyramidal19aFI,1077,33722.19,33021.6,1.36,81.73,1.1,4611.97,8.0,22.0,52.0,202.26,303.55,111.72,2.26,216.11,304.0,4.0,0.69,1884.0,0.4,55.21,4188.6
