neuron_name,neuron_id,neurite_surface_nmo,neurite_volume_nmo,pk_classic_nmo,bif_ampl_local_nmo,fractal_dim_nmo,soma_surface_nmo,n_stems_nmo,n_bifs_nmo,n_branch_nmo,width_nmo,height_nmo,depth_nmo,diameter_nmo,euc_distance_nmo,path_distance_nmo,branch_order_nmo,contraction_nmo,fragmentation_nmo,partition_asymmetry_nmo,bif_ampl_remote_nmo,neurite_length_nmo
C-S5-C3,1805,21501.9,15260.6,1.39485,73.8992,1.01007,109007.0,5.0,25.0,55.0,242.235,360.014,105.26,1.85151,249.61,354.151,6.0,0.863229,1126.0,0.457333,54.0159,3378.86
C-S5-C4,1806,39384.8,30625.4,1.46695,73.5348,1.01154,165032.0,5.0,38.0,81.0,575.125,350.238,99.13,1.91618,457.825,643.066,8.0,0.873621,1879.0,0.403728,54.8389,5982.74
2-S8-A1,1714,26328.7,26115.5,1.30555,62.5751,1.00533,177450.0,4.0,17.0,38.0,334.996,434.629,83.06,2.36924,301.354,342.196,5.0,0.902146,764.0,0.45098,47.6119,2998.3
2-S9-A1,1715,13363.9,9792.88,1.55636,71.7825,1.00688,126180.0,6.0,17.0,40.0,216.888,311.202,62.98,1.9346,187.536,225.72,5.0,0.885475,578.0,0.303922,61.2569,2024.09
2-S9-B1,1716,22542.3,15711.2,1.34611,60.3417,1.00997,215160.0,6.0,23.0,52.0,299.668,400.247,66.99,1.75432,300.78,372.382,4.0,0.887919,1134.0,0.424431,46.9135,3634.6
3-S1-1,1717,20641.3,19380.1,1.39948,80.7794,1.00634,236885.0,4.0,22.0,48.0,296.633,372.119,73.56,2.4581,363.367,407.16,8.0,0.893404,630.0,0.443939,60.1227,2489.95
3-S17-2,1718,19247.6,19532.0,1.27559,77.2695,1.0041,244521.0,6.0,15.0,36.0,256.404,372.352,81.12,2.28302,241.87,288.772,5.0,0.8961,648.0,0.347619,55.6493,2310.28
3-S17-3,1719,14452.5,11473.5,1.19478,69.3857,1.00471,209249.0,7.0,14.0,35.0,264.477,303.742,77.28,2.03676,241.513,281.253,4.0,0.878577,506.0,0.5,59.7793,1926.48
3-S17-4,1720,21728.1,20030.0,1.30881,74.9063,1.00487,294059.0,5.0,21.0,47.0,276.85,350.649,80.48,2.0971,233.992,273.526,5.0,0.902785,794.0,0.420635,63.8333,2924.6
3-S4-2,1721,25975.4,22117.0,1.25901,71.7618,1.00981,189226.0,5.0,19.0,43.0,299.991,466.912,105.38,2.15817,301.631,400.508,5.0,0.895206,820.0,0.457895,59.157,3421.46
3-S6-1,1722,20998.2,19400.5,1.22156,67.1637,1.01469,244222.0,7.0,20.0,47.0,189.902,266.561,126.71,2.37199,207.259,256.665,6.0,0.905854,607.0,0.487778,65.0692,2498.9
3-S7-1,1723,17820.6,15306.4,1.25728,65.842,1.0074,205593.0,4.0,16.0,36.0,314.059,301.626,49.99,2.16287,228.53,268.308,4.0,0.906583,614.0,0.4375,55.4364,2284.77
3-S7-2,1724,14874.8,12562.9,1.36767,74.8474,1.0064,224235.0,5.0,14.0,33.0,226.044,405.743,71.0,2.34181,304.988,345.768,6.0,0.881679,452.0,0.5,52.9106,1838.26
3-S7-3,1725,17196.4,16211.9,1.22084,74.3245,1.00783,221953.0,3.0,20.0,43.0,234.387,269.051,76.71,2.21445,216.364,247.127,5.0,0.914299,616.0,0.420833,59.5502,2157.72
3-S7-4,1726,19195.5,14215.7,1.38876,67.4585,1.00712,151137.0,5.0,28.0,61.0,185.66,279.602,89.1,2.00094,249.292,303.754,6.0,0.887382,746.0,0.502041,54.9922,2772.54
4-S10-1,1727,27495.0,16776.0,1.3729,69.039,1.00914,189665.0,5.0,27.0,59.0,345.798,387.444,121.49,1.6406,277.291,314.274,6.0,0.900985,1463.0,0.411897,58.3533,4828.69
4-S11-1,1728,29225.7,18776.1,1.45491,70.3227,1.00825,135605.0,5.0,30.0,65.0,335.593,499.37,106.31,1.66524,323.422,419.964,6.0,0.865715,2028.0,0.429091,54.2383,5045.73
4-S15-2,1729,22656.7,14931.7,1.33304,75.3843,1.00564,186007.0,6.0,24.0,54.0,328.852,408.591,89.71,1.72146,260.681,312.91,5.0,0.889302,1151.0,0.451389,57.4789,3824.52
4-S16-1,1730,20178.2,11046.6,1.36211,72.1962,1.00891,124954.0,6.0,23.0,52.0,284.415,480.259,107.99,1.57112,293.89,357.622,6.0,0.893035,1236.0,0.431677,51.5097,3769.88
4-S17-1,1731,21520.4,13203.1,1.31809,72.5167,1.00809,139174.0,4.0,23.0,50.0,287.298,431.753,107.67,1.65779,268.402,341.312,5.0,0.890445,1168.0,0.391304,53.9414,3746.65
4-S19-1,1732,29940.3,24894.1,1.37923,68.8543,1.01124,241249.0,4.0,24.0,52.0,299.921,436.824,106.44,2.07298,296.766,367.644,5.0,0.88135,1166.0,0.443056,50.3799,4128.86
4-S2-1,1733,17538.7,12486.8,1.19033,73.0746,1.00809,222197.0,6.0,11.0,28.0,214.541,446.486,103.24,2.01753,323.486,392.79,3.0,0.900955,673.0,0.545455,62.0859,2454.98
D-S10-1,1808,25251.3,21542.7,1.39021,78.6788,1.00992,177543.0,6.0,23.0,52.0,391.743,446.647,90.47,2.0204,352.27,428.108,5.0,0.87766,961.0,0.298344,58.8735,3712.67
D-S11-1,1809,18528.9,19903.2,1.43557,67.3119,1.01214,175858.0,6.0,21.0,48.0,220.8,359.356,110.48,2.31958,261.077,320.351,6.0,0.898752,526.0,0.519728,56.9994,2252.49
D-S13-1,1810,18251.6,17024.8,1.43399,73.9801,1.01123,177940.0,4.0,23.0,50.0,250.066,376.041,116.47,2.18696,262.598,330.988,6.0,0.904449,667.0,0.538164,62.2048,2332.82
D-S16-1,1811,36044.4,24575.1,1.3581,72.8882,1.00799,222396.0,6.0,31.0,68.0,433.834,507.199,108.98,1.80459,380.669,481.414,8.0,0.866402,1701.0,0.531665,53.2608,5921.41
D-S17-3,1812,19455.6,16430.3,1.37275,69.4874,1.00938,211118.0,5.0,21.0,47.0,255.849,495.737,104.0,2.00142,332.846,365.148,4.0,0.900395,775.0,0.446032,54.5254,2714.61
D-S18-2,1813,20676.2,19494.8,1.39458,79.2229,1.00931,159548.0,5.0,22.0,49.0,282.959,456.293,101.34,2.03271,296.648,380.245,6.0,0.922972,700.0,0.382576,63.6746,2988.06
D-S18-3,1814,14793.9,17409.6,1.42962,72.1858,1.00602,179326.0,4.0,15.0,34.0,277.817,371.688,106.48,2.39093,321.882,403.857,6.0,0.918271,463.0,0.356667,68.5294,1675.24
D-S23-2,1815,21540.8,15777.9,1.45153,69.9985,1.00877,188252.0,6.0,27.0,60.0,287.565,286.979,96.52,1.78204,327.61,435.33,6.0,0.895993,1008.0,0.583774,64.3519,3454.96
D-S9-1,1817,24147.5,21029.2,1.43067,69.4766,1.00845,230683.0,6.0,23.0,52.0,392.872,385.169,109.99,1.97434,325.267,391.799,7.0,0.900323,951.0,0.288406,59.3608,3550.63
D-S9-2,1818,30126.9,37040.5,1.44948,67.4259,1.00978,271291.0,7.0,17.0,41.0,385.117,484.793,110.01,2.41138,501.252,582.925,5.0,0.882913,1002.0,0.303922,57.1218,3378.17
E-S1-1,1819,21445.6,17623.7,1.43958,79.1556,1.01027,164498.0,4.0,21.0,46.0,290.156,452.198,79.42,2.14149,312.601,395.295,5.0,0.899951,870.0,0.401361,60.2249,2875.52
E-S1-2,1820,20632.2,19021.1,1.50643,84.7614,1.00683,177639.0,4.0,17.0,38.0,339.756,377.179,86.3,2.20479,277.554,346.218,5.0,0.911138,730.0,0.436275,65.2342,2622.49
E-S10-1,1821,12684.2,13737.6,1.54663,72.7563,1.00164,194869.0,4.0,9.0,22.0,174.388,397.526,82.98,2.27821,254.083,306.768,3.0,0.901431,413.0,0.296296,57.5087,1463.8
E-S10-2,1822,26939.8,23502.5,1.4564,78.0344,1.00332,185164.0,6.0,19.0,44.0,386.925,327.1,81.49,2.30946,264.992,341.056,4.0,0.877901,1004.0,0.382206,56.3693,3379.06
E-S13-2,1823,39255.1,31109.8,1.50889,76.1338,1.01026,144566.0,8.0,38.0,84.0,354.894,386.351,96.86,2.07612,228.062,307.417,8.0,0.897445,1411.0,0.355921,55.8662,5563.99
E-S13-3,1824,30817.8,26433.7,1.5031,62.0511,1.00661,305600.0,6.0,28.0,62.0,287.706,432.385,87.97,2.15303,266.371,313.15,5.0,0.910458,1173.0,0.364796,52.7001,4071.58
E-S13-4,1825,26890.2,24981.1,1.44189,71.2886,1.00496,290908.0,6.0,25.0,56.0,306.224,379.479,65.98,2.19028,243.193,311.634,5.0,0.88828,936.0,0.356667,50.8233,3402.32
E-S14-1,1826,22390.8,17203.0,1.49003,76.8897,1.00637,197517.0,4.0,20.0,44.0,325.943,383.442,105.9,1.97423,293.155,365.573,6.0,0.899066,947.0,0.489524,60.7483,3227.0
E-S21-1,1827,24679.8,22433.3,1.40385,72.1494,1.00798,219329.0,4.0,23.0,50.0,335.635,423.851,116.49,2.24421,312.684,377.297,6.0,0.896984,941.0,0.418634,61.158,3095.99
E-S8-3,1828,22373.1,17805.8,1.50528,75.6839,1.01587,167302.0,5.0,20.0,45.0,344.187,392.472,81.62,2.16417,296.012,401.721,5.0,0.866397,896.0,0.501667,57.827,3006.17
L5,1833,32913.0,39800.5,1.20959,66.0101,1.00672,191994.0,7.0,28.0,63.0,260.2,535.19,61.19,2.38173,417.163,481.0,10.0,0.923304,1021.0,0.546794,58.5223,3744.99
